addr_street,bathrooms,bedrooms,lat,lng,parking_space,price,property_id,property_type,year,Shopping_center_id,Distance_to_sc,Hospital_id,Distance_to_hospital,Supermarket_id,Distance_to_supermaket,Train_station_id,Distance_to_train_station,suburb,travel_min_to_CBD,Transfer_flag
252 Hull Road,1.0,3.0,-37.787341,145.317041,1.0,5894000.0,66098.0,house,2014.0,SC_084,3260,hospital_113,4359,S_224,1749,19877,499,MOOROOLBARK,54,0
21 Newman Street,1.0,3.0,-37.757009,144.986778,1.0,10439000.0,30941.0,house,2010.0,SC_103,2354,hospital_144,1319,S_105,1623,20014,1060,THORNBURY,23,0
6 Adele Court,1.0,3.0,-37.79265,145.249734,1.0,7089000.0,62128.0,house,2012.0,SC_032,2897,hospital_164,1759,S_157,691,19879,2150,RINGWOOD,46,0
3 Kelly Court,2.0,5.0,-37.775214,145.256363,2.0,8160000.0,61728.0,house,2013.0,SC_022,3547,hospital_164,3623,S_157,2450,19878,3100,WARRANWOOD,50,0
5/8 Tongue Street,1.0,2.0,-37.8106863,144.8910415,1.0,6300000.0,3646.0,house,2011.0,SC_043,3215,hospital_056,2000,S_201,1264,19997,448,YARRAVILLE,14,0
37 Timber Ridge,1.0,4.0,-37.777213,145.109253,0.0,16592000.0,51335.0,house,2015.0,SC_091,1837,hospital_194,679,S_046,582,19896,4710,DONCASTER,33,0
37A Rose Street,2.0,3.0,-37.867356,144.819074,1.0,8800000.0,5167.0,house,2011.0,SC_033,5141,hospital_141,6393,S_128,962,19925,547,ALTONA,32,0
29 Adelaide Street,1.0,3.0,-37.795468,144.887766,2.0,7550000.0,781.0,house,2012.0,SC_043,2318,hospital_056,294,S_201,1075,20023,737,FOOTSCRAY,19,0
49 Nisbett Street,1.0,3.0,-37.72784042,145.0310059,2.0,5841000.0,35049.0,house,2007.0,SC_047,1193,hospital_025,1616,S_225,382,20010,2440,RESERVOIR,32,0
8 Ronald Road,1.0,2.0,-37.807913,145.271955,3.0,11050000.0,64897.0,house,2016.0,SC_022,1386,hospital_164,1439,S_055,1300,19878,1583,CROYDON,50,0
39 Black Street,1.0,3.0,-37.711199,145.07869,2.0,6420000.0,43755.0,house,2011.0,SC_017,5040,hospital_037,2157,S_020,2016,19984,450,WATSONIA,33,0
38 Abeckett Street,1.0,2.0,-37.734328,144.9569,1.0,8800000.0,22687.0,house,2016.0,SC_030,633,hospital_084,2204,S_172,1097,19964,530,COBURG,30,0
10 Nymph Street,2.0,4.0,-37.824053,145.210727,0.0,8000000.0,59300.0,house,2016.0,SC_032,2027,hospital_010,2104,S_040,2080,19901,602,MITCHAM,42,0
3 Sunburst Court,1.0,3.0,-37.76506805,145.3271942,1.0,6588000.0,66199.0,house,2009.0,SC_084,1398,hospital_113,2452,S_168,1010,19876,2095,MOOROOLBARK,59,0
24 Nicol Street,2.0,4.0,-37.949305,145.028092,2.0,22950000.0,88687.0,house,2014.0,SC_079,1139,hospital_058,1583,S_214,679,19872,1213,HIGHETT,39,0
19 Owen Street,1.0,3.0,-37.825725,145.188311,1.0,11550000.0,59528.0,house,2016.0,SC_088,1047,hospital_010,1774,S_202,1082,19900,917,MITCHAM,40,0
124 Royal Terrace,2.0,4.0,-37.575532,144.924811,2.0,7200000.0,25270.0,house,2014.0,SC_005,399,hospital_104,8376,S_178,2209,40221,3350,CRAIGIEBURN,0,1
17 Kirkstead Grove,2.0,3.0,-37.584445,144.91136,1.0,2640000.0,25640.0,house,2015.0,SC_016,963,hospital_104,7418,S_178,2262,40221,3418,CRAIGIEBURN,0,1
19 Banfield Terrace,2.0,4.0,-37.693835,145.095087,2.0,7900000.0,44472.0,house,2012.0,SC_062,4768,hospital_075,1575,S_210,1224,19985,1616,GREENSBOROUGH,37,0
134 Greenwood Drive,1.0,3.0,-37.705511,145.062966,2.0,8670000.0,39640.0,house,2015.0,SC_047,4667,hospital_037,651,S_155,1041,19984,1931,BUNDOORA,33,0
26 Catalina Avenue,1.0,3.0,-37.86790466,145.0912781,2.0,7995000.0,69825.0,house,2009.0,SC_042,1050,hospital_098,708,S_112,272,19839,725,ASHBURTON,25,0
2/475 Highett Road,1.0,3.0,-37.948146,145.039109,0.0,4264000.0,88614.0,house,2011.0,SC_079,204,hospital_110,1692,S_069,204,19872,244,HIGHETT,39,0
36 Ervin Road,2.0,3.0,-37.797479,145.30849,1.0,12740000.0,65323.0,house,2016.0,SC_022,2242,hospital_164,4791,S_224,544,19877,1458,KILSYTH,54,0
40 Mascot Avenue,1.0,3.0,-38.070497,145.125521,1.0,4632000.0,93928.0,house,2015.0,SC_070,5378,hospital_043,8788,S_077,1986,19858,559,BONBEACH,53,0
53 Derrimut Street,1.0,4.0,-37.779695,144.817903,1.0,5050000.0,6830.0,house,2015.0,SC_102,1409,hospital_174,1305,S_080,1354,20004,640,ALBION,28,0
2/9 Cypress Avenue,1.0,2.0,-37.863737,145.281867,1.0,4760000.0,73233.0,house,2011.0,SC_049,4126,hospital_049,146,S_024,330,19869,427,BORONIA,3,0
17 Wattle Grove,1.0,3.0,-37.751249,144.954591,2.0,7560000.0,22103.0,house,2014.0,SC_030,2134,hospital_084,460,S_173,1405,19966,731,COBURG,26,0
56 Allister Close,2.0,3.0,-37.88947678,145.2446899,2.0,5325000.0,83236.0,house,2007.0,SC_073,5487,hospital_002,4311,S_027,1505,19868,4525,KNOXFIELD,24,0
20 Howard Street,2.0,4.0,-37.71947098,145.0145874,1.0,8245000.0,34245.0,house,2009.0,SC_103,2500,hospital_139,1470,S_225,1384,20010,727,RESERVOIR,32,0
431 Camp Road,1.0,3.0,-37.685708,144.920924,1.0,4810000.0,18886.0,house,2011.0,SC_059,3180,hospital_104,3897,S_153,850,20030,317,BROADMEADOWS,35,0
49 Aberdeen Road,1.0,2.0,-37.852535,145.004762,0.0,12580000.0,84081.0,house,2013.0,SC_066,1143,hospital_132,402,S_115,501,19946,827,PRAHRAN,22,0
12A Christowel Street,2.0,4.0,-37.83428192,145.0676117,2.0,16900000.0,54994.0,house,2009.0,SC_099,1390,hospital_168,1712,S_160,308,19851,285,CAMBERWELL,0,1
43 Brinsley Road,2.0,3.0,-37.830779,145.068661,2.0,21980000.0,55681.0,house,2014.0,SC_099,1177,hospital_168,2077,S_160,512,19852,118,CAMBERWELL,0,1
389 Canterbury Road,1.0,3.0,-37.82742691,145.2589874,1.0,4240000.0,62898.0,house,2008.0,SC_032,3115,hospital_164,2209,S_139,1864,19871,1272,HEATHMONT,0,1
4 Allendale Road,1.0,3.0,-37.7942009,145.2961578,0.0,4125000.0,64402.0,house,2009.0,SC_022,1272,hospital_164,3874,S_055,1332,19878,1375,CROYDON,50,0
23 Livingstone Street,1.0,4.0,-37.767263,145.040314,2.0,31330000.0,38751.0,house,2015.0,SC_001,148,hospital_039,944,S_219,165,19933,485,IVANHOE,22,0
95 Easey Street,1.0,3.0,-37.798358,144.99026,1.0,12075000.0,28734.0,house,2012.0,SC_008,2341,hospital_178,1394,S_060,707,19975,379,COLLINGWOOD,10,0
,,,,,,,,,,SC_001,0,hospital_001,0,S_001,0,15351,0,,50,0
10 Staples Court,2.0,4.0,-37.706453,144.952714,2.0,7560000.0,16276.0,house,2010.0,SC_030,2897,hospital_139,4180,S_004,1232,19961,841,HADFIELD,35,0
6 Queen Road,1.0,3.0,-37.757573,145.360322,2.0,4150000.0,67609.0,house,2015.0,SC_084,4083,hospital_151,639,S_233,909,19876,1133,LILYDALE,59,0
92 Driscolls Road,2.0,3.0,-37.73512268,144.8261261,2.0,5920000.0,7685.0,house,2009.0,SC_107,1864,hospital_005,2985,S_222,2098,20002,2538,KEALBA,33,0
47 Strathnaver AVENUE,1.0,3.0,-37.718401,144.903966,1.0,8827000.0,15340.0,house,2010.0,SC_010,1569,hospital_184,2662,S_198,1229,20033,1546,STRATHMORE,59,0
27 Avenel Road,2.0,4.0,-37.842017,145.035686,2.0,21450000.0,68997.0,house,2011.0,SC_083,2398,hospital_168,1749,S_235,2108,19910,298,KOOYONG,12,0
9 Crown Avenue,2.0,4.0,-37.842333,145.058566,2.0,12320000.0,56003.0,house,2010.0,SC_099,2003,hospital_168,515,S_160,1364,19851,1267,CAMBERWELL,0,1
